mes,ano,sentimento,cont,novas_data,novo_form,mes_perc
Jan,21,Ruim,7,Jan-21,2021-01-01,5.384615384615385
Jan,21,Bom,123,Jan-21,2021-01-01,94.61538461538461
Feb,21,Bom,167,Feb-21,2021-02-01,93.82022471910112
Feb,21,Ruim,8,Feb-21,2021-02-01,4.49438202247191
Feb,21,Neutro,3,Feb-21,2021-02-01,1.6853932584269662
Mar,21,Bom,244,Mar-21,2021-03-01,96.06299212598425
Mar,21,Ruim,7,Mar-21,2021-03-01,2.7559055118110236
Mar,21,Neutro,3,Mar-21,2021-03-01,1.1811023622047243
Apr,21,Bom,326,Apr-21,2021-04-01,97.31343283582089
Apr,21,Ruim,6,Apr-21,2021-04-01,1.791044776119403
Apr,21,Neutro,3,Apr-21,2021-04-01,0.8955223880597015
May,21,Neutro,3,May-21,2021-05-01,1.0101010101010102
May,21,Ruim,8,May-21,2021-05-01,2.6936026936026938
May,21,Bom,286,May-21,2021-05-01,96.29629629629629
Jun,21,Ruim,6,Jun-21,2021-06-01,2.459016393442623
Jun,21,Neutro,8,Jun-21,2021-06-01,3.278688524590164
Jun,21,Bom,230,Jun-21,2021-06-01,94.26229508196721
Jul,21,Ruim,8,Jul-21,2021-07-01,3.3333333333333335
Jul,21,Bom,225,Jul-21,2021-07-01,93.75
Jul,21,Neutro,7,Jul-21,2021-07-01,2.9166666666666665
Aug,21,Ruim,7,Aug-21,2021-08-01,5.147058823529412
Aug,21,Neutro,5,Aug-21,2021-08-01,3.676470588235294
Aug,21,Bom,124,Aug-21,2021-08-01,91.17647058823529
Sep,21,Ruim,3,Sep-21,2021-09-01,2.112676056338028
Sep,21,Neutro,1,Sep-21,2021-09-01,0.704225352112676
Sep,21,Bom,138,Sep-21,2021-09-01,97.1830985915493
Oct,21,Ruim,8,Oct-21,2021-10-01,6.504065040650406
Oct,21,Neutro,3,Oct-21,2021-10-01,2.4390243902439024
Oct,21,Bom,112,Oct-21,2021-10-01,91.0569105691057
Nov,21,Ruim,7,Nov-21,2021-11-01,5.785123966942149
Nov,21,Neutro,3,Nov-21,2021-11-01,2.479338842975207
Nov,21,Bom,111,Nov-21,2021-11-01,91.73553719008264
Dec,21,Ruim,13,Dec-21,2021-12-01,9.154929577464788
Dec,21,Neutro,1,Dec-21,2021-12-01,0.704225352112676
Dec,21,Bom,128,Dec-21,2021-12-01,90.14084507042253
Jan,22,Neutro,4,Jan-22,2022-01-01,3.361344537815126
Jan,22,Bom,111,Jan-22,2022-01-01,93.27731092436974
Jan,22,Ruim,4,Jan-22,2022-01-01,3.361344537815126
Feb,22,Bom,95,Feb-22,2022-02-01,92.23300970873787
Feb,22,Neutro,4,Feb-22,2022-02-01,3.883495145631068
Feb,22,Ruim,4,Feb-22,2022-02-01,3.883495145631068
Mar,22,Neutro,2,Mar-22,2022-03-01,2.4096385542168677
Mar,22,Bom,79,Mar-22,2022-03-01,95.18072289156626
Mar,22,Ruim,2,Mar-22,2022-03-01,2.4096385542168677
